interarrival,prefill,decode
0.0,1135,12
1591.74901632622,1417,5
2511.8615259316757,1729,53
1846.4462916081377,276,15
1574.4023046345415,25,411
1102.0969821909985,616,6
2076.318589887219,323,30
1151.0383983372797,839,242
4447.048826065314,23,140
6629.824364107628,610,36
967.2042018045066,414,24
3137.792279938337,1297,234
1505.3482190731768,555,214
1678.865693477646,412,18
5196.5083078508815,912,16
147.37070982569574,730,652
182.32205823800095,539,515
40.8511733684499,937,144
3574.9753592297766,376,242
3011.568463730431,1740,35
4080.6285618911015,1160,13
7690.443676333699,1615,171
3210.4791179002914,371,6
1237.8589172259371,529,4
3033.071953760303,216,152
251.7488236610856,7,155
2042.8637727841456,161,23
309.4593654552904,259,768
5788.840899383052,1690,41
1475.6545566221173,1324,2
1071.1314366015126,1201,31
614.5607061809076,333,215
2976.50967745347,598,24
1218.16483260617,531,8
1680.6694137352238,30,116
37.93714332476778,439,21
1922.7618583897188,613,313
1893.993355687556,483,301
1919.0959454584718,369,759
5755.830157482046,1466,10
2290.2779173007525,1226,10
891.0369854624785,1318,71
1149.0648175149663,13,467
2392.2156022667405,102,10
124.2305918506314,1581,244
2197.824960116079,1850,31
2221.1948665887608,782,3
472.4134106680155,15,145
276.0573752649006,891,100
757.9239322729511,1202,12
904.204112692772,393,32
1688.8555613018204,789,188
1154.6486218591922,39,5
8908.994761218106,1149,34
215.27022507058115,854,17
468.6030312659154,1072,443
351.8271068692058,1951,43
2117.485449812831,1030,1013
584.1610698145394,1870,10
1255.8831621483846,267,162
560.5540274057275,972,521
346.2549055464135,810,316
233.91082408230432,351,479
2136.144379598286,603,608
297.42454277658203,1846,6
437.76120541008106,371,84
920.02793111944,273,326
3440.663303556088,500,15
204.28977332912848,655,255
3639.637848790018,840,200
202.06956561047272,518,467
7498.06290140918,594,14
1264.6732053307628,899,113
7523.854344239078,285,259
1856.9570025668713,332,327
2688.4905293734364,27,232
79.95260496702022,406,11
664.8204905932447,1747,7
256.1135229490597,697,53
702.3521737270552,727,11
252.77728343820576,508,14
765.4019155952424,694,625
1069.7687724887112,1968,3
132.5947929820781,374,19
2358.379054260683,1884,38
1672.1950904612556,223,47
616.829679743685,494,6
1481.517903174894,2043,3
197.30062736050098,618,410
1715.7912839708815,1103,614
5298.51185002237,701,284
767.1204208848677,330,3
2201.6918425203226,1416,18
282.6614280384563,349,17
2519.867664415427,398,312
683.3083396036006,8,99
404.70087356011,1243,193
1766.2580925792058,863,332
40.62490869430177,1787,9
3531.482155262716,87,392
9.41306914139535,1701,86
2265.268268375591,997,755
629.4433341607909,899,27
2657.515760216735,55,270
6550.28636608499,935,656
572.0419550548834,1690,246
1716.78592870903,526,25
1793.1817651690988,578,30
1698.4416432092366,995,43
504.8399908947061,235,12
6104.563409971523,1174,282
1185.248055219694,1344,6
3746.919842526284,10,152
2404.4771201111503,11,283
706.040264258179,358,14
3361.844409537655,7,32
1010.0375021560113,1313,2
4258.998729446261,235,32
1741.07163710923,1553,8
4269.660938920902,888,89
2358.765857946136,293,320
2583.81852592256,1123,714
1391.598917190378,1274,11
6250.93648604046,1078,6
2065.594036510459,1427,2
1102.7919962730703,363,33
1864.805746848015,796,51
38.7595579692989,563,8
717.8544330159409,404,136
2158.64039212568,400,17
685.1992417026148,45,283
1924.7501224811706,45,43
1119.922148389907,1445,350
291.147946818777,446,14
708.4482591528164,763,202
1687.77694120712,680,514
1787.4581482546052,276,938
1708.1594385510778,257,327
2118.018796283581,228,21
2111.6991922518546,1518,23
1129.2210055833837,956,8
4537.267938214724,1435,18
916.3457628450469,737,11
1144.9231238967136,838,809
4449.829255555767,736,321
3281.795127464797,32,165
2434.0389770463644,782,6
211.22528890657574,116,68
5038.564279101088,1408,9
2505.215057997205,844,239
13530.787468079448,1101,219
323.7401733965232,1086,2
4051.8175854839455,404,317
354.65115822237306,1081,87
1911.9328312977398,985,908
264.3674202549223,88,35
3767.8577997587126,1501,387
3293.4381861344864,30,417
1683.761896964952,403,103
1045.7400586553933,1349,21
143.35077985287833,355,702
2390.877137097255,455,399
1208.5981525936838,1632,176
2560.6683667771254,471,148
4025.545471351788,1471,42
7419.9206042079395,137,830
3873.154466533701,1205,704
23.56646924463844,143,429
892.5056579264237,808,13
2618.5967332193363,403,14
376.5899497979107,283,13
1472.2622132591982,790,22
111.74011062613384,1408,2
446.278414888289,306,180
37.39094154009305,1670,232
3156.825452857892,100,19
507.0114240790502,456,15
847.3142092659823,155,266
5264.437747526932,399,36
2437.593624162474,1018,24
64.71362087081192,390,31
359.9146831041524,813,162
1942.964288647746,1085,21
1721.8472891904325,392,378
543.336157644453,995,357
5442.6963954028,687,582
1903.6594328537742,382,71
1534.1593338703685,513,911
1782.7571470376377,1341,24
2619.5707666444373,106,228
747.7729916273752,850,8
1015.7302281921103,1433,40
471.049133941446,843,174
412.064098110469,525,458
5778.151235918738,554,31
2690.6948547882544,1382,118
1348.4891658185797,427,269
516.0255247321253,821,382
587.0153011795363,1079,32
119.56192128548619,454,19
1139.7951187658705,738,110
747.3396038048581,955,211
2383.716227621043,249,16
948.832587225237,1890,12
395.9354708722536,982,510
49.9767058366922,39,442
139.2353435464009,653,291
2275.076997014559,815,79
1209.1624551388113,1297,184
1538.2396126687163,173,16
4539.680085062943,184,14
