interarrival,prefill_len,decode_len
0.0,1135,12
363.82834658885025,1417,5
574.1397773558116,1729,53
422.04486665328864,276,15
359.8633839164666,25,411
251.9078816436568,616,6
474.5871062599357,323,30
263.09449104852104,839,242
1016.4683031006432,23,140
1515.3884260817433,610,36
221.07524612674436,414,24
717.2096639859054,1297,234
344.0795929310118,555,214
383.74072993774763,412,18
1187.7733275087728,912,16
33.68473367444474,730,652
41.67361331154307,539,515
9.337411055645692,937,144
817.137224966806,376,242
688.358505995527,1740,35
932.7150998608232,1160,13
1757.8156974477024,1615,171
733.8237983772094,371,6
282.9391810802142,529,4
693.2735894309264,216,152
57.54258826539099,7,155
466.9402909220904,161,23
70.73356924692352,259,768
1323.1636341446974,1690,41
337.29247008505536,1324,2
244.8300426517743,1201,31
140.47101855563602,333,215
680.3450691322217,598,24
278.43767602426743,531,8
384.1530088537654,30,116
8.671347045661207,439,21
439.4884247747928,613,313
432.91276701429854,483,301
438.65050181907924,369,759
1315.618321710182,1466,10
523.4920953830291,1226,10
203.66559667713793,1318,71
262.64338686056374,13,467
546.7921376609693,102,10
28.39556385157289,1581,244
502.3599908836752,1850,31
507.7016837917168,782,3
107.98020815268926,15,145
63.09882863197727,891,100
173.2397559481031,1202,12
206.67522575834786,393,32
386.02412829755895,789,188
263.9196849963868,39,5
2036.3416597069954,1149,34
49.20462287327568,854,17
107.1092642893521,1072,443
80.41762442724703,1951,43
483.99667424293284,1030,1013
133.52253024332327,1870,10
287.05900849105933,267,162
128.12663483559487,972,521
79.1439784106088,810,316
53.465331218812416,351,479
488.2615724796082,603,608
67.98275263464731,1846,6
100.05970409373282,371,84
210.29209854158628,273,326
786.4373265271058,500,15
46.694805332372226,655,255
831.9172225805754,840,200
46.18732928239377,518,467
1713.842948893527,594,14
289.0681612184601,899,113
1719.738135826075,285,259
424.4473148724277,332,327
614.5121209996425,27,232
18.274881135318907,406,11
151.95896927845592,1747,7
58.54023381692793,697,53
160.53763970904117,727,11
