time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.381,0.399,0.39433333333333326,0.395,0.0035231659643988437,0.149,0.152,0.15084999999999998,0.151,0.0006538348415311017,5.8260000000000005,6.172,6.08435,6.0875,0.0761375564357038,0.29,0.298,0.2956,0.296,0.0020099751242241798,2.033,2.137,2.10365,2.106,0.024980542428057924,8.836,9.297,9.126349999999999,9.139,0.10241741795222134,0.457,0.466,0.4624499999999999,0.463,0.0020609463845524967,8.857,9.387,9.22615,9.243,0.12016916201754949,0.29,0.292,0.29144999999999993,0.2915,0.0005894913061275802,64,64,8192,36864,50272,False,4096,1
0.39,0.404,0.3958571428571429,0.396,0.0031515032586236784,0.15,0.153,0.15145,0.151,0.0006689544080129832,6.018,6.3020000000000005,6.14865,6.156,0.059400568179100895,0.293,0.3,0.2966000000000001,0.297,0.001743559577416271,2.081,2.18,2.1248,2.128,0.02051487265376029,9.035,9.457,9.218500000000002,9.222999999999999,0.09304541901673613,0.46,0.46900000000000003,0.4640999999999999,0.4635,0.0019974984355438197,9.14,9.527000000000001,9.3255,9.3475,0.08944132154658715,0.289,0.293,0.29100000000000004,0.291,0.0009486832980505147,64,64,8192,36864,50272,False,4096,1
0.39,0.405,0.3952380952380953,0.395,0.0033792752379447977,0.149,0.152,0.15034999999999998,0.15,0.0007921489758877436,6.157,6.4110000000000005,6.2532000000000005,6.2405,0.056663568542759564,0.293,0.298,0.29510000000000003,0.295,0.0015132745950421568,2.104,2.193,2.1362,2.1319999999999997,0.020257344347174435,9.014,9.415000000000001,9.24325,9.236,0.08564746055780076,0.455,0.464,0.46094999999999997,0.461,0.0019098429254784295,9.081,9.540000000000001,9.357199999999999,9.349,0.0957473759431559,0.28700000000000003,0.289,0.2883,0.28800000000000003,0.0006403124237432612,64,64,8192,36864,50272,False,4064,1
0.387,0.399,0.39209523809523816,0.392,0.0027413024694522416,0.147,0.151,0.14949999999999997,0.1495,0.0010723805294763618,6.157,6.373,6.253,6.2295,0.04953988292275226,0.291,0.296,0.2929,0.2925,0.0014456832294800974,2.105,2.179,2.1384499999999997,2.1334999999999997,0.017168211904563597,9.138,9.453,9.27315,9.2665,0.06733221739999347,0.456,0.463,0.45870000000000005,0.4585,0.0015198684153570677,9.244,9.568,9.383750000000001,9.392,0.06532600936839773,0.28500000000000003,0.28800000000000003,0.2865,0.28600000000000003,0.0007416198487095669,64,64,8192,36864,50272,False,4032,1
0.38,0.406,0.3903333333333333,0.389,0.00512076383191241,0.147,0.151,0.1487,0.149,0.0011000000000000012,6.156,6.5280000000000005,6.264049999999999,6.235,0.08956644181835081,0.28600000000000003,0.296,0.29035,0.2905,0.002308137777516745,2.059,2.231,2.1331,2.129,0.032491383473160995,8.935,9.648,9.252500000000001,9.2335,0.13136000152253338,0.449,0.461,0.45415,0.454,0.002329699551444351,9.038,9.681000000000001,9.364049999999997,9.3695,0.12046056408634333,0.28300000000000003,0.28600000000000003,0.28425000000000006,0.28400000000000003,0.0008291561975888506,64,64,8192,36864,50272,False,4000,1
0.382,0.405,0.3904285714285714,0.389,0.005964749055284478,0.147,0.152,0.14794999999999997,0.1475,0.0013219304066402298,5.9510000000000005,6.381,6.10375,6.087,0.11971168489333026,0.28700000000000003,0.296,0.2902,0.2895,0.0025806975801127762,2.104,2.259,2.1601000000000004,2.1445,0.04424353060052955,8.913,9.56,9.1276,9.0135,0.1816734432986837,0.448,0.463,0.45244999999999996,0.45,0.0042364489847040564,8.826,9.463000000000001,9.043650000000001,9.005500000000001,0.17050609226652294,0.28,0.28300000000000003,0.28175000000000006,0.28200000000000003,0.0008874119674649432,64,64,8192,36864,50272,False,3968,1
0.381,0.393,0.3854285714285715,0.385,0.003230382972599361,0.145,0.148,0.14625,0.146,0.0008291561975888506,6.015000000000001,6.228,6.08495,6.0865,0.060497499948344836,0.28400000000000003,0.29,0.2875,0.28800000000000003,0.0015329709716755732,2.1270000000000002,2.204,2.14935,2.153,0.02170086403809759,9.01,9.335,9.092649999999999,9.0975,0.08990009733031426,0.446,0.454,0.4478,0.4475,0.002158703314492292,8.922,9.24,9.01195,9.0175,0.09294163491137858,0.278,0.28,0.27895000000000003,0.279,0.0005894913061275804,64,64,8192,36864,50272,False,3936,1
0.374,0.386,0.38042857142857145,0.38,0.002682774480191102,0.14300000000000002,0.146,0.14410000000000003,0.14400000000000002,0.000768114574786853,5.95,6.157,6.036500000000001,6.014,0.048644115779814465,0.28200000000000003,0.28800000000000003,0.28405,0.28400000000000003,0.0017741194999210186,2.058,2.178,2.13025,2.128,0.023851362644511535,8.713000000000001,9.225,9.014149999999999,9.011000000000001,0.09331038259486439,0.437,0.447,0.4425,0.442,0.0018027756377319965,9.043000000000001,9.567,9.351750000000003,9.347,0.09062112060662218,0.275,0.279,0.27665,0.277,0.0010136567466356653,64,64,8192,36864,50272,False,3904,1
0.373,0.384,0.3770476190476191,0.377,0.0029996220472425974,0.14100000000000001,0.14300000000000002,0.14225,0.14200000000000002,0.0006224949798994372,5.947,6.157,6.032100000000001,6.014,0.05689806675098897,0.279,0.28500000000000003,0.2816,0.281,0.0015620499351813324,2.103,2.177,2.1306,2.128,0.020472908928630493,8.908,9.222,9.0101,9.01,0.07824953673984261,0.437,0.443,0.43875000000000003,0.439,0.0014097872179871696,9.241,9.567,9.359550000000002,9.347,0.08583383656810405,0.273,0.276,0.2743000000000001,0.2745,0.0009000000000000008,64,64,8192,36864,50272,False,3872,1
0.371,0.386,0.3773809523809524,0.377,0.003709398494123898,0.14,0.14300000000000002,0.14150000000000001,0.14100000000000001,0.0008062257748298557,5.804,6.01,5.89075,5.8740000000000006,0.056590524825274255,0.279,0.28500000000000003,0.2811500000000001,0.281,0.0016815171720800251,1.923,1.994,1.9524500000000002,1.948,0.01855121289835249,8.623,8.939,8.75155,8.7345,0.08009648868708298,0.436,0.443,0.43875000000000003,0.438,0.0019968725547715874,8.434000000000001,8.743,8.56315,8.5415,0.08560681923772193,0.273,0.276,0.27430000000000004,0.274,0.0009000000000000007,64,64,8192,36864,50272,False,3840,1
